,date,High,Low,Open,Close,Volume,Adj Close,symbol,quoteType,shortName,longName,Company Address,Company Phonenumber,CEO Name,CEO phone number,CEO email
0,2020-10-22,118.0400009,114.5899963,117.4499969,115.75,101988000,114.8426666,AAPL,EQUITY,Apple Inc.,Apple Inc.,"1 Infinite Loop, Cupertino, California",94554459,Tim Cook,5534545555,timcook@apple.com
1,2020-10-23,116.5500031,114.2799988,116.3899994,115.0400009,82572600,114.138237,AAPL,EQUITY,Apple Inc.,Apple Inc.,"1 Infinite Loop, Cupertino, California",94554459,Tim Cook,5534545555,timcook@apple.com
2,2020-10-26,116.5500031,112.8799973,114.0100021,115.0500031,111850700,114.1481552,AAPL,EQUITY,Apple Inc.,Apple Inc.,"1 Infinite Loop, Cupertino, California",94554459,Tim Cook,5534545555,timcook@apple.com
3,2020-10-27,117.2799988,114.5400009,115.4899979,116.5999985,92276800,115.685997,AAPL,EQUITY,Apple Inc.,Apple Inc.,"1 Infinite Loop, Cupertino, California",94554459,Tim Cook,5534545555,timcook@apple.com
4,2020-10-28,115.4300003,111.0999985,115.0500031,111.1999969,143937800,110.328331,AAPL,EQUITY,Apple Inc.,Apple Inc.,"1 Infinite Loop, Cupertino, California",94554459,Tim Cook,5534545555,timcook@apple.com
5,2020-10-29,116.9300003,112.1999969,112.3700027,115.3199997,146129200,114.4160309,AAPL,EQUITY,Apple Inc.,Apple Inc.,"1 Infinite Loop, Cupertino, California",94554459,Tim Cook,5534545555,timcook@apple.com
6,2020-10-30,111.9899979,107.7200012,111.0599976,108.8600006,190272600,108.0066757,AAPL,EQUITY,Apple Inc.,Apple Inc.,"1 Infinite Loop, Cupertino, California",94554459,Tim Cook,5534545555,timcook@apple.com
7,2020-11-02,110.6800003,107.3199997,109.1100006,108.7699966,122866900,107.9173737,AAPL,EQUITY,Apple Inc.,Apple Inc.,"1 Infinite Loop, Cupertino, California",94554459,Tim Cook,5534545555,timcook@apple.com
8,2020-11-03,111.4899979,108.7300034,109.6600037,110.4400024,107624400,109.5742798,AAPL,EQUITY,Apple Inc.,Apple Inc.,"1 Infinite Loop, Cupertino, California",94554459,Tim Cook,5534545555,timcook@apple.com
9,2020-11-04,115.5899963,112.3499985,114.1399994,114.9499969,138235500,114.0489349,AAPL,EQUITY,Apple Inc.,Apple Inc.,"1 Infinite Loop, Cupertino, California",94554459,Tim Cook,5534545555,timcook@apple.com
10,2020-11-05,119.6200027,116.8700027,117.9499969,119.0299988,126387100,118.0969467,AAPL,EQUITY,Apple Inc.,Apple Inc.,"1 Infinite Loop, Cupertino, California",94554459,Tim Cook,5534545555,timcook@apple.com
11,2020-11-06,119.1999969,116.1299973,118.3199997,118.6900024,114457900,117.9627914,AAPL,EQUITY,Apple Inc.,Apple Inc.,"1 Infinite Loop, Cupertino, California",94554459,Tim Cook,5534545555,timcook@apple.com
12,2020-11-09,121.9899979,116.0500031,120.5,116.3199997,154515300,115.6073074,AAPL,EQUITY,Apple Inc.,Apple Inc.,"1 Infinite Loop, Cupertino, California",94554459,Tim Cook,5534545555,timcook@apple.com
13,2020-11-10,117.5899963,114.1299973,115.5500031,115.9700012,138023400,115.2594528,AAPL,EQUITY,Apple Inc.,Apple Inc.,"1 Infinite Loop, Cupertino, California",94554459,Tim Cook,5534545555,timcook@apple.com
14,2020-11-11,119.6299973,116.4400024,117.1900024,119.4899979,112295000,118.7578735,AAPL,EQUITY,Apple Inc.,Apple Inc.,"1 Infinite Loop, Cupertino, California",94554459,Tim Cook,5534545555,timcook@apple.com
